assessment_id,assessment_type,score,enroll_id,course_id,course_name,difficulty_level,stu_id,student_name,dept_name
3111,Project,45,1037,1,Course 1,Easy,99,Christine Chavez,Information Technology
3110,Final,40,1037,1,Course 1,Easy,99,Christine Chavez,Information Technology
3109,Midterm,32,1037,1,Course 1,Easy,99,Christine Chavez,Information Technology
3090,Project,100,1030,1,Course 1,Easy,99,Christine Chavez,Information Technology
3089,Final,93,1030,1,Course 1,Easy,99,Christine Chavez,Information Technology
3088,Midterm,96,1030,1,Course 1,Easy,99,Christine Chavez,Information Technology
3069,Project,67,1023,1,Course 1,Easy,98,John Griffin,Information Technology
3068,Final,96,1023,1,Course 1,Easy,98,John Griffin,Information Technology
3067,Midterm,78,1023,1,Course 1,Easy,98,John Griffin,Information Technology
3057,Project,33,1019,1,Course 1,Easy,98,John Griffin,Information Technology
3056,Final,44,1019,1,Course 1,Easy,98,John Griffin,Information Technology
3055,Midterm,46,1019,1,Course 1,Easy,98,John Griffin,Information Technology
3006,Project,55,1002,1,Course 1,Easy,96,Tiffany Lawrence,Information Technology
3005,Final,55,1002,1,Course 1,Easy,96,Tiffany Lawrence,Information Technology
3004,Midterm,77,1002,1,Course 1,Easy,96,Tiffany Lawrence,Information Technology
2985,Project,41,995,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2984,Final,49,995,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2983,Midterm,37,995,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2964,Project,60,988,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2963,Final,96,988,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2962,Midterm,92,988,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2961,Project,65,987,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2960,Final,58,987,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2959,Midterm,61,987,1,Course 1,Easy,95,Cindy Gibson,Information Technology
2820,Project,47,940,1,Course 1,Easy,90,Miranda Glover,Information Technology
2819,Final,32,940,1,Course 1,Easy,90,Miranda Glover,Information Technology
2818,Midterm,44,940,1,Course 1,Easy,90,Miranda Glover,Information Technology
2793,Project,86,931,1,Course 1,Easy,89,Aaron Hardin,Information Technology
2792,Final,67,931,1,Course 1,Easy,89,Aaron Hardin,Information Technology
2791,Midterm,50,931,1,Course 1,Easy,89,Aaron Hardin,Information Technology
2760,Project,65,920,1,Course 1,Easy,88,Jessica Haas,Information Technology
2759,Final,82,920,1,Course 1,Easy,88,Jessica Haas,Information Technology
2758,Midterm,72,920,1,Course 1,Easy,88,Jessica Haas,Information Technology
2691,Project,59,897,1,Course 1,Easy,86,Stephanie Garcia,Information Technology
2690,Final,70,897,1,Course 1,Easy,86,Stephanie Garcia,Information Technology
2689,Midterm,58,897,1,Course 1,Easy,86,Stephanie Garcia,Information Technology
2670,Project,35,890,1,Course 1,Easy,85,Maria Rodriguez,Information Technology
2669,Final,40,890,1,Course 1,Easy,85,Maria Rodriguez,Information Technology
2668,Midterm,44,890,1,Course 1,Easy,85,Maria Rodriguez,Information Technology
2616,Project,58,872,1,Course 1,Easy,84,Timothy Wallace,Information Technology
2615,Final,60,872,1,Course 1,Easy,84,Timothy Wallace,Information Technology
2614,Midterm,76,872,1,Course 1,Easy,84,Timothy Wallace,Information Technology
2586,Project,95,862,1,Course 1,Easy,83,Mario Martin,Information Technology
2585,Final,78,862,1,Course 1,Easy,83,Mario Martin,Information Technology
2584,Midterm,68,862,1,Course 1,Easy,83,Mario Martin,Information Technology
2574,Project,71,858,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2573,Final,79,858,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2572,Midterm,97,858,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2565,Project,64,855,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2564,Final,53,855,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2563,Midterm,75,855,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2550,Project,54,850,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2549,Final,85,850,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2548,Midterm,91,850,1,Course 1,Easy,82,Shawn Garcia,Information Technology
2535,Project,56,845,1,Course 1,Easy,81,Allen Moore,Information Technology
2534,Final,65,845,1,Course 1,Easy,81,Allen Moore,Information Technology
2533,Midterm,85,845,1,Course 1,Easy,81,Allen Moore,Information Technology
2496,Project,60,832,1,Course 1,Easy,80,Mike Smith,Information Technology
2495,Final,89,832,1,Course 1,Easy,80,Mike Smith,Information Technology
2494,Midterm,96,832,1,Course 1,Easy,80,Mike Smith,Information Technology
2460,Project,81,820,1,Course 1,Easy,79,Dawn Arnold,Information Technology
2459,Final,52,820,1,Course 1,Easy,79,Dawn Arnold,Information Technology
2458,Midterm,71,820,1,Course 1,Easy,79,Dawn Arnold,Information Technology
2445,Project,94,815,1,Course 1,Easy,79,Dawn Arnold,Information Technology
2444,Final,62,815,1,Course 1,Easy,79,Dawn Arnold,Information Technology
2443,Midterm,58,815,1,Course 1,Easy,79,Dawn Arnold,Information Technology
2415,Project,76,805,1,Course 1,Easy,78,Billy Vazquez,Information Technology
2414,Final,58,805,1,Course 1,Easy,78,Billy Vazquez,Information Technology
2413,Midterm,65,805,1,Course 1,Easy,78,Billy Vazquez,Information Technology
2412,Project,95,804,1,Course 1,Easy,77,Amanda Reynolds,Information Technology
2411,Final,59,804,1,Course 1,Easy,77,Amanda Reynolds,Information Technology
2410,Midterm,67,804,1,Course 1,Easy,77,Amanda Reynolds,Information Technology
2397,Project,72,799,1,Course 1,Easy,77,Amanda Reynolds,Information Technology
2396,Final,99,799,1,Course 1,Easy,77,Amanda Reynolds,Information Technology
2395,Midterm,71,799,1,Course 1,Easy,77,Amanda Reynolds,Information Technology
2298,Project,54,766,1,Course 1,Easy,74,Karen Taylor,Information Technology
2297,Final,67,766,1,Course 1,Easy,74,Karen Taylor,Information Technology
